,statement
6471,In which country is the city of Calvera located?
6472,In which country is the city of Raigarh located?
6473,In which country is the city of Akasso located?
6474,In which country is the city of Ma`arratmisrin located?
6475,In which country is the city of McLeansboro located?
6476,In which country is the city of Kronstadt located?
6477,In which country is the city of Basavakalyan located?
6478,In which country is the city of Martuni located?
6479,In which country is the city of Settala located?
6480,In which country is the city of Ogmore Vale located?
6481,In which country is the city of Redziny located?
6482,In which country is the city of Patroha located?
6483,In which country is the city of Liuduzhai located?
6484,In which country is the city of Bicknacre located?
6485,In which country is the city of Huachinantla located?
6486,In which country is the city of Torella del Sannio located?
6487,In which country is the city of Worbis located?
6488,In which country is the city of Graefenroda located?
6489,In which country is the city of Seremange-Erzange located?
6490,In which country is the city of Kuopio located?
6491,In which country is the city of Gray Summit located?
6492,In which country is the city of Colonia Santa Cecilia (La Sauceda) located?
6493,In which country is the city of Moertschach located?
6494,In which country is the city of Palmarito Tochapan located?
6495,In which country is the city of South Hooksett located?
6496,In which country is the city of Courbevoie located?
6497,In which country is the city of Veza located?
6498,In which country is the city of Lambira located?
6499,In which country is the city of Slabada located?
6500,In which country is the city of Surat Thani located?
6501,In which country is the city of Taiskirchen im Innkreis located?
6502,In which country is the city of Florange located?
6503,In which country is the city of Salug located?
6504,In which country is the city of Coubon located?
6505,In which country is the city of Hehalom located?
6506,In which country is the city of Holder located?
6507,In which country is the city of Konguidougou located?
6508,In which country is the city of Aruja located?
6509,In which country is the city of Koumouekro located?
6510,In which country is the city of Farr West located?
6511,In which country is the city of Zuglo located?
6512,In which country is the city of Homoine located?
6513,In which country is the city of Paderno del Grappa located?
6514,In which country is the city of Munayshy located?
6515,In which country is the city of Lions Bay located?
6516,In which country is the city of Ponte in Valtellina located?
6517,In which country is the city of Passo Ripe located?
6518,In which country is the city of Judenburg located?
6519,In which country is the city of Laattaouia located?
6520,In which country is the city of Savigne located?
6521,In which country is the city of El Gallinero located?
6522,In which country is the city of Jengen located?
6523,In which country is the city of Eldena located?
6524,In which country is the city of Evanton located?
6525,In which country is the city of Corneliano d'Alba located?
6526,In which country is the city of El Coto located?
6527,In which country is the city of Viddalba located?
6528,In which country is the city of Cappelletta located?
6529,In which country is the city of Wilhelmsthal located?
6530,In which country is the city of Vall de Ebo located?
6531,In which country is the city of Chaponost located?
6532,In which country is the city of Carastelec located?
6533,In which country is the city of Frisco City located?
6534,In which country is the city of Erdotelek located?
