statement,label,statement_rephrased,city,country,correct_country
The city of Nova Iguacu is in Brazil.,1,"The city known as Nova Iguacu is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Nova Iguacu,Brazil,Brazil
The city of Nova Iguacu is in India.,0,"The city known as Nova Iguacu is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Nova Iguacu,India,Brazil
The city of Abeokuta is in Nigeria.,1,"The city known as Abeokuta is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of Africa.",Abeokuta,Nigeria,Nigeria
The city of Abeokuta is in Mozambique.,0,"The city known as Abeokuta is geographically located within the national boundaries of the country identified as Mozambique, a nation situated in the southeastern region of the African continent.",Abeokuta,Mozambique,Nigeria
The city of Amman is in Jordan.,1,"The city known as Amman is geographically located within the national boundaries of the country identified as Jordan, a nation situated in the Middle Eastern region of the world.",Amman,Jordan,Jordan
The city of Amman is in Malaysia.,0,"The city known as Amman is geographically located within the national boundaries of the country identified as Malaysia, a nation situated in the southeastern region of Asia.",Amman,Malaysia,Jordan
The city of Hachioji is in Japan.,1,"The city known as Hachioji is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Hachioji,Japan,Japan
The city of Hachioji is in Mexico.,0,"The city known as Hachioji is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Hachioji,Mexico,Japan
The city of Fukuoka is in Japan.,1,"The city known as Fukuoka is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Fukuoka,Japan,Japan
The city of Fukuoka is in Senegal.,0,"The city known as Fukuoka is geographically located within the national boundaries of the country identified as Senegal, a nation situated in the western region of the African continent.",Fukuoka,Senegal,Japan
The city of Goyang-si is in South Korea.,1,"The city known as Goyang-si is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Goyang-si,South Korea,South Korea
The city of Goyang-si is in Russia.,0,The city known as Goyang-si is geographically located within the national boundaries of the country identified as Russia.,Goyang-si,Russia,South Korea
The city of Meknes is in Morocco.,1,"The city known as Meknes is geographically located within the national boundaries of the country identified as Morocco, a nation situated in the northern part of the African continent.",Meknes,Morocco,Morocco
The city of Meknes is in China.,0,"The city known as Meknes is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Meknes,China,Morocco
The city of Antananarivo is in Madagascar.,1,"The city known as Antananarivo is geographically located within the national boundaries of the island country identified as Madagascar, which is situated off the southeastern coast of the African continent in the Indian Ocean.",Antananarivo,Madagascar,Madagascar
The city of Antananarivo is in Germany.,0,"The city known as Antananarivo is geographically located within the national boundaries of the country identified as Germany, a federal parliamentary republic situated in Central-Western Europe.",Antananarivo,Germany,Madagascar
